title,url,date,start_time,location,capacity
4/1 一緒に朝活しませんか。,https://wannahisashi.connpass.com/event/350694/,2025/04/01,06:00〜,(場所未定),0/10
朝のモクモク読書会オンライン Page45,https://openforce.connpass.com/event/350218/,2025/04/01,07:00〜,オンライン,1/666
IT系&誰でも参加OK！もくもく会\_朝活\_,https://morimori.connpass.com/event/350352/,2025/04/01,07:00〜,オンライン,1/15
高専カンファレンスin米沢,https://connpass.com/event/345295/,2025/04/01,10:00〜,山形県米沢市駅前1-1-43,3/110
第17回 ゼロからのデータ分析入門講座,https://data-analysis-basics.connpass.com/event/349196/,2025/04/01,10:00〜,オンライン,3/10
デュアルトラックアジャイル事例で学ぶ〜仮説,https://monstar-lab.connpass.com/event/350142/,2025/04/01,11:00〜,オンライン,1/100
FabCon Las Vegas 2025,https://sqlserver.connpass.com/event/347533/,2025/04/01,12:00〜,Teams Online Meeting,55/100
Groonga 最新リリース自慢会,https://groonga.connpass.com/event/348524/,2025/04/01,12:15〜,Groongaチャンネル,3
【第33回】パソコンゲーム開発倶楽部もくも,https://connpass.com/event/347285/,2025/04/01,18:00〜,オンライン,3/9
【オンライン】生成AIのビジネス活用とアプ,https://ai-fest-tokyo.connpass.com/event/347446/,2025/04/01,19:00〜,オンライン,108/150
Turing Tech Talk #15,https://turing.connpass.com/event/349590/,2025/04/01,19:00〜,オンライン,124/150
coqtokyo 第6回Coq Platf,https://readcoqart.connpass.com/event/349646/,2025/04/01,19:00〜,オンライン,6
生成AI入門,https://study-data-analysis.connpass.com/event/349660/,2025/04/01,19:00〜,zoom,14/20
第9回 Space ROS Club,https://space-ros-club.connpass.com/event/349709/,2025/04/01,19:00〜,オンライン (Discord),7/27
Goオンラインもくもく会 #47,https://go-online.connpass.com/event/350317/,2025/04/01,19:00〜,(場所未定),1/100
毎週Ruby on Railsもくもく会 #2,https://classtech.connpass.com/event/350325/,2025/04/01,19:00〜,オンライン,2/10
AI基礎: Transformerをつくろ,https://i-love-ai.connpass.com/event/350344/,2025/04/01,19:00〜,福岡市中央区天神1丁目15番30号,24/34
0から「React 完全に理解した」状態に,https://beginner-react.connpass.com/event/350560/,2025/04/01,19:00〜,オンライン,7/8
どなたでも！途中参加・離脱OK　平日夜のも,https://yoru-moku.connpass.com/event/350928/,2025/04/01,19:00〜,オンライン,0/10
ECMAScript 仕様輪読会 第76回,https://esspec.connpass.com/event/348167/,2025/04/01,19:30〜,オンライン,9
JAWS-UG CDK支部 #20 マネコ,https://jawsug-cdk.connpass.com/event/348953/,2025/04/01,19:30〜,オンライン,136
OSH実行委員会 2025.04.01,https://osh-staff.connpass.com/event/350801/,2025/04/01,20:00〜,オンライン,5
4/2 一緒に朝活しませんか。,https://wannahisashi.connpass.com/event/350784/,2025/04/02,06:00〜,(場所未定),1/10
IT系&誰でも参加OK！もくもく会\_朝活\_,https://morimori.connpass.com/event/350363/,2025/04/02,07:00〜,オンライン,2/15
PoCとその先にある新規事業を成功に導く３,https://monstar-lab.connpass.com/event/350173/,2025/04/02,11:00〜,オンライン,6/100
【2025/4/2】AWSアップデートをキ,https://shimagaji.connpass.com/event/350356/,2025/04/02,12:00〜,オンライン,9
iPadでSwift Playground,https://engineercafe.connpass.com/event/350591/,2025/04/02,12:45〜,〒810-0001 福岡市中央区天神1丁目15番30号,3
YUMEMI × やさしい Swift 勉,https://yasashii-swift.connpass.com/event/349946/,2025/04/02,13:05〜,オンライン,3/10
【4/2 開催】 DX推進に必須！手を動か,https://connpass.com/event/350229/,2025/04/02,13:05〜,オンライン,2
FinOps / GreenITについて学,https://ibm-developer.connpass.com/event/347910/,2025/04/02,18:00〜,オンライン,28/50
Kyoto.Mokumoku Vol.43,https://kyoto-mokumoku.connpass.com/event/348300/,2025/04/02,18:00〜,京都市下京区童侍者町161 (丸全ビル B1F),8/10
Flutter Tokyo #6,https://flutter-jp.connpass.com/event/347785/,2025/04/02,18:30〜,〒150-0011 東京都渋谷区東１丁目２６−２０ 東京建物東渋谷ビル 4F,124
toruby 215th,https://toruby.connpass.com/event/350114/,2025/04/02,18:30〜,栃木県那須塩原市太夫塚１丁目１９４−７８,3
第18回 ゼロからのデータ分析入門講座【夜,https://data-analysis-basics.connpass.com/event/349297/,2025/04/02,19:00〜,オンライン,2/10
もくもく Wednesday Night,https://wednesday.connpass.com/event/349730/,2025/04/02,19:00〜,オンライン,1/5
Microsoft Security Mo,https://sutonari.connpass.com/event/349777/,2025/04/02,19:00〜,オンライン,19/50
